終値,始値,高値,安値,出来高,MA_5,MA_20,Volatility,PriceRange,変化率 %,DayOfWeek,Month
0.09673873213631368,0.09754335260115607,0.0972720746590093,0.0997423629002576,0.16851158181176826,0.09715006679530945,0.092572370059582,0.04114040399178169,0.0425531914893617,0.5020094994519547,1,5
0.09967020886771713,0.09573699421965318,0.09763101220387649,0.09937430990062569,0.20054423596996623,0.09856018999554698,0.09366438684215572,0.03229818961295554,0.05106382978723386,0.5878699305809281,2,5
0.09820447050201539,0.09609826589595374,0.09655419956927494,0.10084652189915348,0.15090789982026775,0.09930236010093511,0.09439239803053817,0.016544594866583693,0.02127659574468085,0.514431859700402,3,5
0.10040307805056797,0.09898843930635837,0.09834888729361091,0.1019506808980493,0.21425931836124504,0.09982187917470685,0.09512040921892065,0.021752025887256166,0.02978723404255331,0.5750822067957618,4,5
0.10333455478197143,0.09934971098265896,0.10122038765254843,0.104158998895841,0.16761292056506477,0.10071248330117265,0.09577178765063127,0.04053151750170547,0.03829787234042547,0.5867738399707709,0,6
0.10773176987907657,0.10368497109826591,0.10552763819095476,0.10857563489142437,0.19778106260393397,0.10293899361733709,0.09669138073069333,0.06300930289412965,0.03829787234042547,0.6101571063207892,1,6
0.10919750824477831,0.1054913294797688,0.10624551328068912,0.10931174089068825,0.16147346849646416,0.10486863589134633,0.09789834664827479,0.07887193667001177,0.03829787234042547,0.5619291194738766,2,6
0.10663246610480029,0.10765895953757224,0.10624551328068912,0.10894368789105628,0.13946886600708852,0.10657562713373904,0.09885625610667279,0.0592347798660327,0.0425531914893617,0.49799050054804533,3,6
0.10296812019054599,0.10368497109826591,0.10373295046661879,0.10599926389400073,0.1709975979708733,0.10709514620751077,0.09950763453838346,0.0448879407745611,0.04680851063829793,0.47972232371209356,4,6
0.10260168559912056,0.10404624277456645,0.1030150753768844,0.10563121089436876,0.11439033813179246,0.1069467121864331,0.10023564572676591,0.04820196140746111,0.0425531914893617,0.5327000365363537,0,6
0.10076951264199341,0.10151734104046242,0.10050251256281406,0.10379094589620903,0.12891169603413233,0.10553658898619563,0.1008103914018047,0.05664278846260161,0.03404255319148954,0.5085860431128973,1,6
0.10699890069622572,0.10007225433526012,0.10445082555635316,0.10489510489510488,0.18588849881578284,0.10509128692296278,0.10146176983351535,0.04445737135168249,0.06808510638297847,0.6412130069419072,2,6
0.10993037742762918,0.1054913294797688,0.10696338837042352,0.10931174089068825,0.19825138998538627,0.1057592400178121,0.10220893921106575,0.06216497438819885,0.04680851063829793,0.5856777493606139,3,6
0.11066324661048005,0.1054913294797688,0.1091170136396267,0.1104158998895841,0.243386021198327,0.1073177972391272,0.10326263961530358,0.07370015058129355,0.05957446808510632,0.5502374862988674,4,6
0.10736533528765113,0.10802023121387283,0.10696338837042352,0.11004784688995216,0.10722624426788505,0.10828261837613178,0.10414391631702974,0.0652397246389162,0.03829787234042547,0.48666423090975525,0,6
0.10919750824477831,0.1069364161849711,0.10696338837042352,0.10967979389032019,0.1584751314397057,0.10998960961852457,0.10512098396459568,0.02502661886541415,0.0425531914893617,0.5677749360613811,1,6
0.1088310736533529,0.10729768786127167,0.1080402010050251,0.11152005888847992,0.14071187408664104,0.11036069467121863,0.10596394428798595,0.01883514215745816,0.03404255319148924,0.5327000365363537,2,6
0.11506046170758522,0.1083815028901734,0.11198851399856424,0.11299227088700771,0.21865184015587993,0.11139973281876205,0.10703680288139161,0.048601210601790845,0.06382978723404285,0.6375593715747169,3,6
0.11212898497618176,0.11343930635838151,0.11198851399856424,0.11556864188443135,0.19272504325332168,0.11169660086091733,0.10778397225894212,0.050782121298310515,0.03404255319148954,0.49324077457069787,4,6
0.10993037742762918,0.10982658959537572,0.10875807609475949,0.11299227088700771,0.10794013404330371,0.11221611993468901,0.10835871793398086,0.042378836733693005,0.025531914893617082,0.5042016806722689,0,6
0.10919750824477831,0.10729768786127167,0.10696338837042352,0.11004784688995216,0.12745872037357434,0.11221611993468901,0.10901009636569153,0.042378836733693005,0.03829787234042547,0.5268542199488492,1,6
0.10846463906192746,0.1083815028901734,0.1083991385498923,0.11188811188811189,0.09309122671459527,0.1121419029241502,0.1094698929057226,0.043804068887499326,0.03404255319148924,0.5268542199488492,2,6
0.10809820447050203,0.10621387283236994,0.10588657573582197,0.10967979389032019,0.1486738447583693,0.11073177972391272,0.10998716401325745,0.02502661886541595,0.02978723404255331,0.5327000365363537,3,6
0.1088310736533529,0.10476878612716761,0.10624551328068912,0.10967979389032019,0.12163841902810207,0.1100638266290634,0.11042780236412053,0.009445396344707604,0.03404255319148924,0.5502374862988674,4,6
0.11066324661048005,0.108742774566474,0.1080402010050251,0.1104158998895841,0.17851443737086994,0.11021226065014102,0.1108109661474797,0.01442497325670574,0.04680851063829763,0.5677749360613811,0,6
0.11212898497618176,0.10982658959537572,0.10983488872936106,0.11262421788737577,0.15777803907076748,0.11080599673445153,0.11104086441749528,0.02694232606574267,0.0425531914893617,0.5615637559371575,1,7
0.11469402711615975,0.11199421965317918,0.11234745154343143,0.11593669488406332,0.11333210152352477,0.11206768591361142,0.11132823725501467,0.04340765989499632,0.03404255319148924,0.5787358421629522,2,7
0.11469402711615975,0.11416184971098264,0.113424264178033,0.11740890688259105,0.10492499958006485,0.1134035921033101,0.11174971741670978,0.041786842520116,0.02978723404255331,0.5385458531238583,3,7
